onset_s,wave_type
173.4759999999951,N
174.33199999999488,N
175.16599999999744,N
175.99099999997998,N
176.8070000000007,N
177.6119999999937,N
178.4189999999944,N
179.2619999999879,N
180.125,N
181.04999999998836,N
182.00800000000163,N
183.01499999998487,N
184.0350000000035,N
184.98199999998906,N
185.8880000000063,N
186.8179999999993,N
187.7399999999907,N
188.6490000000049,N
189.63300000000163,N
190.6119999999937,N
191.60000000000582,N
192.74799999999232,N
193.95900000000256,N
195.13000000000466,N
196.14400000000023,N
197.21099999998114,N
198.40299999999115,N
199.59899999998743,N
200.75399999998626,N
201.76999999998952,N
202.83299999998417,N
203.91099999999278,N
204.98300000000745,N
206.0350000000035,N
207.24700000000303,N
208.43399999997928,N
209.50599999999395,N
210.67299999998068,N
211.85699999998906,N
213.0810000000056,N
214.19899999999325,N
215.37699999997858,N
216.63099999999395,N
217.7630000000063,N
218.9869999999937,N
220.22500000000582,N
221.43899999998393,N
222.52999999999884,N
223.7159999999858,N
224.92600000000675,N
226.04199999998673,N
227.08900000000722,N
228.4309999999823,N
229.7939999999944,N
231.0350000000035,N
232.23600000000442,N
233.47999999998137,N
234.70799999998417,N
235.94800000000396,N
237.15200000000186,N
238.34399999998277,N
239.47500000000582,N
240.60999999998603,N
241.78099999998813,N
242.9429999999993,N
243.99199999999837,N
245.0009999999893,N
246.10499999998137,N
247.27999999999884,N
248.39499999998952,N
249.56599999999162,N
250.72399999998743,N
251.6600000000035,N
252.5339999999851,N
253.46099999998114,N
254.5679999999993,N
255.75899999999092,N
256.91599999999744,N
257.9679999999935,N
259.07199999998556,N
260.2749999999942,N
261.47000000000116,N
262.6579999999958,N
263.820000000007,N
264.92399999999907,N
266.125,N
267.3610000000044,N
268.5449999999837,N
269.64400000000023,N
270.82600000000093,N
272.02700000000186,N
273.08499999999185,N
274.2039999999979,N
275.42699999999604,N
276.5789999999979,N
277.7069999999949,N
278.89100000000326,N
280.07600000000093,N
281.1939999999886,N
282.3619999999937,N
283.51900000000023,N
284.61699999999837,N
285.79999999998836,N
286.9750000000058,N
288.15399999998044,N
289.2589999999909,N
290.4560000000056,N
291.63199999998324,N
292.6909999999916,N
293.69800000000396,N
294.78800000000047,N
295.9629999999888,N
297.00800000000163,N
298.11699999999837,N
299.3530000000028,N
300.61900000000605,N
301.8159999999916,N
302.9109999999928,N
304.0139999999956,N
305.1110000000044,N
306.18700000000536,N
307.24499999999534,N
308.33599999998114,N
309.47199999997974,N
310.6009999999951,N
311.65399999998044,N
312.79999999998836,N
313.98300000000745,N
315.1479999999865,N
316.2269999999844,N
317.3530000000028,N
318.50599999999395,N
319.5819999999949,N
320.64299999998184,N
321.7749999999942,N
322.9349999999977,N
324.0469999999914,N
325.1820000000007,N
326.3739999999816,N
327.4539999999979,N
328.57300000000396,N
329.6909999999916,N
330.7829999999958,N
331.8059999999823,N
332.8979999999865,N
334.05799999999,N
